rain[mm] temperature[°C] irradiance[mümol/s/m2] day_length[h] PET[mm] CO2[ppm]
0.00029803958022967 1.61144006252289 210 8.47980530588785 12 393.42
0 -0.0685011371970177 210 8.49520205519924 12 393.42
0.213982462882996 -0.57409679889679 210 8.51202397667475 12 393.42
1.95183765888214 2.87793183326721 210 8.53025285779958 12 393.42
3.51104402542114 1.84751093387604 210 8.54986915067347 12 393.42
16.8087844848633 2.78883266448975 210 8.57085204754426 12 393.42
0.072979137301445 7.55592393875122 210 8.59317955963709 12 393.42
1.88645172119141 5.7908821105957 210 8.61682859869334 12 393.42
1.62969303131104 5.63763952255249 210 8.64177506063332 12 393.42
1.30142784118652 5.1510009765625 210 8.66799391076203 12 393.42
8.42392253875732 4.32934427261353 210 8.69545926995005 12 393.42
0.238323867321014 2.26352834701538 210 8.72414450123908 12 393.42
2.59183025360107 2.74184155464172 210 8.75402229634432 12 393.42
2.18270683288574 3.16752624511719 210 8.7850647615532 12 393.42
1.52539622783661 3.17376780509949 210 8.81724350255092 12 393.42
0.312213331460953 3.88799715042114 210 8.85052970773675 12 393.42
0 0.368221789598465 210 8.88489422963188 12 393.42
0.484181940555573 0.126938492059708 210 8.92030766401721 12 393.42
0 1.97495698928833 210 8.95674042647867 12 393.42
0 -0.53658664226532 210 8.99416282607715 12 393.42
0.000190005244803615 -1.6677565574646 210 9.03254513589975 12 393.42
0.000224799296120182 -2.30310845375061 210 9.07185766028761 12 393.42
0 -2.81476092338562 210 9.11207079857384 12 393.42
0.0744172558188438 -1.57078444957733 210 9.15315510520125 12 393.42
8.9246129989624 5.93000555038452 210 9.19508134612457 12 393.42
8.96999073028564 4.10844039916992 210 9.23782055143442 12 393.42
16.7420444488525 4.62612676620483 210 9.281344064171 12 393.42
0.253277957439423 6.40821838378906 210 9.32562358532374 12 393.42
5.17213344573975 5.11451387405396 210 9.37063121503883 12 393.42
0.0818003565073013 1.96130764484406 210 9.41633949008002 12 393.42
0 1.38020408153534 210 9.46272141760858 12 393.42
0.587529063224792 -0.361211806535721 400 9.50975050536712 12 393.42
9.07479476928711 2.17633295059204 400 9.55740078836718 12 393.42
0.379264384508133 1.13702642917633 400 9.60564685219462 12 393.42
0 -0.667020320892334 400 9.65446385305769 12 393.42
0.717610418796539 -1.09698784351349 400 9.70382753471204 12 393.42
0.0597540661692619 -3.17224526405334 400 9.75371424240394 12 393.42
0.373496979475021 -6.46244144439697 400 9.8041009339783 12 393.42
0 -8.85401630401611 400 9.85496518830177 12 393.42
0 -11.8311319351196 400 9.90628521115303 12 393.42
0 -12.0540561676025 400 9.95803983873329 12 393.42
0 -12.0530567169189 400 10.0102085389492 12 393.42
0.0394005440175533 -12.5789442062378 400 10.0627714106186 12 393.42
0.429146766662598 -11.7825183868408 400 10.1157091807475 12 393.42
0 -9.18563556671143 400 10.1690032000224 12 393.42
0.187893941998482 -9.29593467712402 400 10.2226354366572 12 393.42
0.0965416580438614 -8.6485710144043 400 10.2765884687329 12 393.42
0 -9.90684413909912 400 10.3308454751568 12 393.42
0 -11.000376701355 400 10.3853902253685 12 393.42
3.34437012672424 -8.844313621521 400 10.4402070679099 12 393.42
1.45048892498016 -2.81634378433228 400 10.4952809179726 12 393.42
3.35906267166138 0.569386005401611 400 10.5505972440285 12 393.42
0 1.24782466888428 400 10.6061420536435 12 393.42
0 1.12416112422943 400 10.6619018785692 12 393.42
1.45105850696564 2.1166844367981 400 10.7178637591986 12 393.42
1.93482840061188 1.65532147884369 400 10.7740152284684 12 393.42
0.000362203718395904 -0.540504932403564 400 10.8303442952823 12 393.42
1.05037306639133e-05 -2.43196702003479 400 10.8868394275255 12 393.42
0 -1.00958514213562 400 10.9434895347339 12 393.42
0 1.81293284893036 539 11.0002839504767 12 393.42
0.00010708330955822 5.54703569412231 539 11.0572124145041 12 393.42
2.0381076335907 5.49453020095825 539 11.1142650547106 12 393.42
0.210957646369934 3.66968560218811 539 11.1714323689551 12 393.42
0.0198828559368849 2.25373530387878 539 11.2287052067769 12 393.42
0 4.05747556686401 539 11.2860747510439 12 393.42
0.00033719144994393 7.11717176437378 539 11.3435324995607 12 393.42
0.00117860361933708 7.40769720077515 539 11.4010702466659 12 393.42
0.000755277811549604 6.55817890167236 539 11.4586800648404 12 393.42
0.000383036502171308 6.7306694984436 539 11.5163542863472 12 393.42
2.14397597312927 7.17826128005981 539 11.5740854849196 12 393.42
0.0908233523368835 3.34514737129211 539 11.6318664575124 12 393.42
0 2.65531611442566 539 11.6896902061269 12 393.42
1.50966536998749 3.46699523925781 539 11.7475499197209 12 393.42
1.35287761688232 3.36387968063354 539 11.8054389562086 12 393.42
0.000220171801629476 2.35175347328186 539 11.8633508245578 12 393.42
0 3.55409669876099 539 11.9212791669879 12 393.42
0.301485449075699 3.076092004776 539 11.9792177412698 12 393.42
0 6.88981914520264 539 12.0371604031301 12 393.42
0 7.58385801315308 539 12.0951010887595 12 393.42
4.59854672953952e-05 5.95601987838745 539 12.1530337974235 12 393.42
0.000111084555101115 7.66461706161499 539 12.2109525741747 12 393.42
0 10.1338729858398 539 12.2688514926641 12 393.42
0 10.6827011108398 539 12.3267246380489 12 393.42
9.18141746520996 7.69068384170532 539 12.3845660899945 12 393.42
4.73569917678833 4.77184677124023 539 12.4423699057667 12 393.42
0 7.84652853012085 539 12.5001301034125 12 393.42
